Date,Truck_Number,Area,Location,Start Time,End Time,Number Of Refueling,Sales_Amount,Feul Fee,Profit,Fuel Price,Total Sales (L),utilization,capacity_used,profit_per_liter,Location_rank,Truck_Rank
10 Azar ,Fuel Truck1,1.0,Ajudanieh,8.0,11.0,1.0,2700.0,5000.0,81000000.0,35000.0,94500000.0,0.54,0.54,30000.0,508500000.0,508500000.0
10 Azar ,Fuel Truck2,1.0,Farmaniyeh,8.13,11.0,1.0,4000.0,5000.0,120000000.0,35000.0,140000000.0,0.8,0.8,30000.0,714000000.0,714000000.0
10 Azar ,Fuel Truck3,1.0,Andarzgoo 1,8.17,11.0,2.0,7500.0,5000.0,225000000.0,35000.0,262500000.0,1.5,1.5,30000.0,1386000000.0,1386000000.0
10 Azar ,Fuel Truck4,1.0,andarzgoo 2,8.31,11.0,2.0,7000.0,5000.0,210000000.0,35000.0,245000000.0,1.4,1.4,30000.0,1371000000.0,1371000000.0
10 Azar ,Fuel Truck5,1.0,Pasdaran,8.0,11.0,1.0,4350.0,5000.0,130500000.0,35000.0,152250000.0,0.87,0.87,30000.0,799500000.0,799500000.0
10 Azar ,Fuel Truck6,1.0,ekhtiariyeh,8.12,11.0,1.0,1740.0,5000.0,52200000.0,35000.0,60900000.0,0.348,0.348,30000.0,402600000.0,402600000.0
10 Azar ,Fuel Truck7,1.0,tajrish 1,8.24,11.0,3.0,13000.0,5000.0,390000000.0,35000.0,455000000.0,2.6,2.6,30000.0,2151000000.0,2151000000.0
10 Azar ,Fuel Truck8,1.0,tajrish 2 ,8.45,11.0,3.0,12500.0,5000.0,375000000.0,35000.0,437500000.0,2.5,2.5,30000.0,2322000000.0,2322000000.0
10 Azar ,Fuel Truck9,1.0,velenjak 1 ,8.51,11.0,1.0,3500.0,5000.0,105000000.0,35000.0,122500000.0,0.7,0.7,30000.0,678000000.0,678000000.0
10 Azar ,Fuel Truck10,1.0,velenjak 2,9.01,11.0,2.0,5900.0,5000.0,177000000.0,35000.0,206500000.0,1.18,1.18,30000.0,1058940000.0,1058940000.0
10 Azar ,Fuel Truck11,2.0,modiriat,7.45,11.0,2.0,8700.0,5000.0,261000000.0,35000.0,304500000.0,1.74,1.74,30000.0,1604700000.0,1604700000.0
10 Azar ,Fuel Truck12,2.0,dadman,8.23,11.0,2.0,5500.0,5000.0,165000000.0,35000.0,192500000.0,1.1,1.1,30000.0,879000000.0,879000000.0
10 Azar ,Fuel Truck13,2.0,sepehr,8.41,11.0,1.0,4567.0,5000.0,137010000.0,35000.0,159845000.0,0.9134,0.9134,30000.0,786510000.0,786510000.0
10 Azar ,Fuel Truck14,2.0,farahzad,8.55,11.0,1.0,2200.0,5000.0,66000000.0,35000.0,77000000.0,0.44,0.44,30000.0,365250000.0,365250000.0
10 Azar ,Fuel Truck15,2.0,Sanat Square,8.33,11.0,3.0,11000.0,5000.0,330000000.0,35000.0,385000000.0,2.2,2.2,30000.0,2103000000.0,2103000000.0
10 Azar ,Fuel Truck16,2.0,iran zamin 1,8.33,11.0,2.0,10000.0,5000.0,300000000.0,35000.0,350000000.0,2.0,2.0,30000.0,1821000000.0,1821000000.0
10 Azar ,Fuel Truck17,2.0,iran zamin 2,8.33,11.0,2.0,7000.0,5000.0,210000000.0,35000.0,245000000.0,1.4,1.4,30000.0,1537500000.0,1537500000.0
10 Azar ,Fuel Truck18,3.0,dolat,8.33,11.0,2.0,6570.0,5000.0,197100000.0,35000.0,229950000.0,1.314,1.314,30000.0,1193100000.0,1193100000.0
10 Azar ,Fuel Truck19,3.0,kaveh blv,8.33,11.0,2.0,8900.0,5000.0,267000000.0,35000.0,311500000.0,1.78,1.78,30000.0,1725000000.0,1725000000.0
10 Azar ,Fuel Truck20,3.0,nemati,8.33,11.0,1.0,1280.0,5000.0,38400000.0,35000.0,44800000.0,0.256,0.256,30000.0,203400000.0,203400000.0
10 Azar ,Fuel Truck21,3.0,shariati ,8.33,11.0,4.0,18000.0,5000.0,540000000.0,35000.0,630000000.0,3.6,3.6,30000.0,2967000000.0,2967000000.0
10 Azar ,Fuel Truck22,3.0,daroos,8.33,11.0,2.0,5780.0,5000.0,173400000.0,35000.0,202300000.0,1.156,1.156,30000.0,1229400000.0,1229400000.0
10 Azar ,Fuel Truck23,3.0,shahrzad,8.33,11.0,1.0,1330.0,5000.0,39900000.0,35000.0,46550000.0,0.266,0.266,30000.0,243900000.0,243900000.0
10 Azar ,Fuel Truck24,3.0,daroos 2 ,8.33,11.0,1.0,3700.0,5000.0,111000000.0,35000.0,129500000.0,0.74,0.74,30000.0,897000000.0,897000000.0
10 Azar ,Fuel Truck25,4.0,heravi square,8.33,11.0,2.0,9600.0,5000.0,288000000.0,35000.0,336000000.0,1.92,1.92,30000.0,2292000000.0,2292000000.0
10 Azar ,Fuel Truck26,4.0,hussein abad,8.33,11.0,1.0,760.0,5000.0,22800000.0,35000.0,26600000.0,0.152,0.152,30000.0,172500000.0,172500000.0
10 Azar ,Fuel Truck27,4.0,lavizan,8.33,11.0,1.0,2200.0,5000.0,66000000.0,35000.0,77000000.0,0.44,0.44,30000.0,425100000.0,425100000.0
10 Azar ,Fuel Truck28,4.0,lavizan 2 ,8.33,11.0,1.0,4678.0,5000.0,140340000.0,35000.0,163730000.0,0.9356,0.9356,30000.0,868020000.0,868020000.0
10 Azar ,Fuel Truck29,4.0,majidiyeh north,8.33,11.0,1.0,4800.0,5000.0,144000000.0,35000.0,168000000.0,0.96,0.96,30000.0,960000000.0,960000000.0
10 Azar ,Fuel Truck30,4.0,majidiyeh south,8.33,11.0,1.0,1150.0,5000.0,34500000.0,35000.0,40250000.0,0.23,0.23,30000.0,229800000.0,229800000.0
10 Azar ,Fuel Truck31,5.0,poonak,8.33,11.0,2.0,9000.0,5000.0,270000000.0,35000.0,315000000.0,1.8,1.8,30000.0,1716000000.0,1716000000.0
10 Azar ,Fuel Truck32,5.0,shahran,8.33,11.0,1.0,1780.0,5000.0,53400000.0,35000.0,62300000.0,0.356,0.356,30000.0,376200000.0,376200000.0
